"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Ben Driebergen",1,"0.0993810416486718","0.111783325992417","0.119868690229272","0.144828522724195","0.0824066988353395","0.0779057161160356","0.0803926691598895","0.140507001016881","0.16337609849337","0.18447911115751","0.239975444084581","0.302898648223537","0.365051243389093"
"Ryan Ulrich",3,"0.0904371533044623","0.109148474226967","0.127626739556672","0.12988315033284","0.181830348919982","0.259541632979199","0.218667453239225","0.291485067626723","0.163471674999762","0.186783100089521","0.209604609310858","0.207669317214985","0.380372449586216"
"Devon Pinto",4,"0.0868723956092366","0.0403321913237449","0.0299067999348169","0.0196131847950619","0.0357611625574648","0.0391170851039961","0.11046652058545","0.0737466612967163","0.190360071358232","0.12876901424337","0.120578148965655","0.194542349379639","0.13623566969805"
"Chrissy Hofbeck",2,"0.070680013798314","0.0282396895171101","0.042124827144165","0.064211161495896","0.0777784821801134","0.0930491617338025","0.0814996483611685","0.122974531468913","0.0751373451102686","0.0886568578943568","0.0778924098106151","0.127528426891944","0.072831016215453"
"Mike Zahalsky",5,"0.0993810416486718","0.0800185719118722","0.0725684454314344","0.0632268138253609","0.0703067298102772","0.0487953753185646","0.0808283991796823","0.041321172106878","0.0341430626561679","0.0324445269843796","0.0340942415100029","0.0864819027808588","0.0455096211111879"
"Ashley Nolan",6,"0.0500318407711705","0.133609595746068","0.131531429619131","0.0394537911149328","0.0538015271991908","0.0864905308014492","0.107345581445018","0.0490867064021507","0.0934670016198725","0.143071133238838","0.211703363084511","0.0808793555090357",""
"Lauren Rimmer",7,"0.0362926734878135","0.0840886136223798","0.0423718362771867","0.0223687814559774","0.0332542370519785","0.0666607766463189","0.0588587455359032","0.0952454246272424","0.0602622484969791","0.0694026892235946","0.106151783233777","",""
"Joe Mena",8,"0.0472862485931589","0.0720413273322401","0.0281193860624963","0.0257822398634276","0.0215927466836878","0.0226630859857663","0.0587605179611771","0.114798581186319","0.219775745354404","0.16639356716843","","",""
"JP Hilsabeck",9,"0.0423568353028763","0.0334072029625021","0.0386061240514815","0.0472421074725485","0.0656266240269505","0.0524136414616524","0.0315469076483905","0.00543631019950382","0.00000675191094463542","","","",""
"Cole Medders",10,"0.031763382585251","0.0563662959066966","0.064773621364179","0.106516229393243","0.0685155904780202","0.0704625777955654","0.121473002602643","0.0653985440686721","","","","",""
"Desi Williams",11,"0.0362926734878135","0.0219723476725772","0.0242058246194345","0.037485238254962","0.0634589814700935","0.0572278116829643","0.0501605542814525","","","","","",""
"Jessica Johnston",12,"0.0362926734878135","0.04412852334369","0.0722416225217083","0.118985314802769","0.145063056521846","0.125672604374685","","","","","","",""
"Ali Elliott",13,"0.0948014679167658","0.0865228043285848","0.140560524701974","0.16205023281417","0.100603814265056","","","","","","","",""
"Roark Luskin",14,"0.0362926734878135","0.042657045617608","0.0365947941969408","0.0183532316546161","","","","","","","","",""
"Alan Ball",15,"0.0167691787305592","0.0395154687019479","0.028899334289107","","","","","","","","","",""
"Patrick Bolton",16,"0.0868723956092366","0.0161685217935941","","","","","","","","","","",""
"Simone Nguyen",17,"0.0381963105303711","","","","","","","","","","","",""
"Katrina Radke",18,"","","","","","","","","","","","",""
