"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Jeremy Collins",1,"0.0741767666890547","0.0800450668512358","0.107132003298736","0.14343037693218","0.225545103193521","0.237886096132888","0.198555549819448","0.299566930497091","0.333962499247451","0.354647299905065","0.355706665032511","0.418807471228866","0.401158554511508"
"Spencer Bledsoe",2,"0.120684990465271","0.0866440949331943","0.158777680138903","0.222957346827423","0.215689157098851","0.225399599827667","0.23175387561419","0.258231029140309","0.222681793644443","0.279846515586634","0.339574234951229","0.36019283931049","0.330451072058412"
"Kelley Wentworth",4,"0.067749710967302","0.038078638387479","0.0549070916339371","0.113623495454039","0.0796144726248196","0.0943494574159951","0.133456380491164","0.0937943307069861","0.152438394272393","0.0542520500120176","0.0611565661992546","0.110591671239422","0.0877080071168357"
"Tasha Fox",2,"0.047270599678516","0.0383243535287411","0.109075705357483","0.114107878113121","0.092876309032465","0.0976128598098676","0.0990835655971286","0.0685442042583313","0.0678620319106973","0.149467357546526","0.13570353283516","0.0651808193509911","0.15942124649851"
"Keith Nale",5,"0.0376297624637853","0.0353324955051887","0.0227346672314411","0.0153219194330416","0.0173538307092312","0.0260105718795577","0.0314285643221889","0.029192122734749","0.00942052351968465","0.0868042631342282","0.0541095342203693","0.0209452507922411","0.00705703819589577"
"Kimmi Kappenberg",6,"0.047270599678516","0.0383243535287411","0.0228052290821859","0.0158236158688993","0.0186029120164461","0.0287260280049102","0.0308123534107848","0.00518692400802909","0.00233352424850504","0.026087353585282","0.00938039487473383","0.00765194238788043","0.0142040816188388"
"Abi-Maria Gomes",7,"0.0240810201193274","0.0188703430150076","0.0243314759817542","0.0242518718502408","0.0202621260536619","0.0303072874251152","0.0359297415868865","0.0225403088106089","0.0188348738113172","0.00740607556179495","0.00291992798891545","0.0166300056901092",""
"Joe Anglim",8,"0.0683325685334406","0.035032472652529","0.033628446385051","0.0460794075529999","0.0324390330049744","0.0353056208572826","0.0419812850509487","0.0223064245656439","0.0144147593914324","0.00685351869419981","0.0414491438978266","",""
"Stephen Fishbach",9,"0.0264474063417987","0.0366799786406045","0.0658270559969348","0.059381705966849","0.0790353277263774","0.0516572504095943","0.0669933094429999","0.151011346043459","0.132225320581789","0.034635565974252","","",""
"Ciera Eastin",10,"0.047270599678516","0.0383243535287411","0.0239101877870397","0.0154817559750923","0.0237241029550287","0.029802927822138","0.0322223410568675","0.0312420475992387","0.0458262793722877","","","",""
"Kelly Wiglesworth",11,"0.0423775526905131","0.0540986014786529","0.0265789954660356","0.0260202684347986","0.0236450170211967","0.0318143846804936","0.0316453304402077","0.0183843316355537","","","","",""
"Andrew Savage",12,"0.0657244794969675","0.0914715978543408","0.0575851237368903","0.0772748878164278","0.0658225705859348","0.0474850217977242","0.0661377031671852","","","","","",""
"Kass 'Chaos Kass' McQuillen",13,"0.047270599678516","0.0626856714637242","0.0289494658765615","0.0324396471713786","0.0486791380361149","0.0636428939367665","","","","","","",""
"Woo Hwang",14,"0.0393476482800938","0.0433801737944096","0.0311205002393114","0.0175387176293606","0.0177902471635236","","","","","","","",""
"Terry Deitz",15,"0.0376297624637853","0.0496833788960704","0.0422326725912632","0.0607231884288877","0.0389206527778536","","","","","","","",""
"Monica Padilla",16,"0.0361731387021643","0.0740388020852379","0.0567486982110702","0.0155439165452604","","","","","","","","",""
"Jeff Varner",17,"0.04964773501237","0.11649194038948","0.133655000985402","","","","","","","","","",""
"Peih-Gee Law",18,"0.047270599678516","0.0624936834666215","","","","","","","","","","",""
"Shirin Oskooi",19,"0.0736444593815462","","","","","","","","","","","",""
"Vytas Baskauskas",20,"","","","","","","","","","","","",""
