"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Ciera Eastin",5,0.0655396406435323,"0.0645365286477943","0.0640297201088295","0.0920732041592611","0.0668172062117409","0.115788934369351","0.130006128686478","0.146586031492272","0.157682532805132","0.228886685636385","0.243948157875696","0.318992688900223","0.291243812298049"
"Tyson Apostol",1,0.0324462356098583,"0.0318605976706845","0.0497687327265861","0.0484477530001153","0.0592020879107259","0.0724351635086124","0.0532541407051576","0.0876460234456258","0.238863214772813","0.272124677990202","0.30112800983818","0.215025441650457","0.278925094250101"
"Hayden Moss",7,0.0463206950879754,"0.0234886353584109","0.039654475755998","0.0384686132442738","0.0344761529573626","0.050635437444465","0.0937857498010679","0.0873634237174319","0.0810496942840768","0.0263515154807419","0.0471018916890167","0.130387356566194","0.124328487986493"
"Monica Culpepper",2,0.0977732405153004,"0.0819470247777548","0.0645505862618218","0.0964003450341379","0.0752977074665824","0.0913688366598898","0.0746557090832677","0.23607033548471","0.0981500321436423","0.0919058013147954","0.123005483294096","0.129277189823563","0.140194305405582"
"Tina Wesson",4,0.0984029669320565,"0.0365110472794005","0.025791933565742","0.0205745290790514","0.0259370772127942","0.0201651218339844","0.053543644441784","0.0296687933993552","0.0330377581463236","0.0168169700708564","0.00602653689314277","0.0586948075134293","0.0681002178230276"
"Laura Morett",6,0.0321934835338415,"0.0680714090197897","0.028853957912932","0.0338010370573247","0.0485547211560574","0.0296095895513586","0.0369761360204185","0.0843587263371386","0.069589831144508","0.0405840839849239","0.0285094338704723","0.0554123246098151","0.0651149695612906"
"Gervase Peterson",2,0.0187155395498589,"0.0813641845213729","0.041140273573511","0.033110602942195","0.0727436716486569","0.0456415468380708","0.0573370582525181","0.0469655460632274","0.0354849995393719","0.0156280659267958","0.0126274758601671","0.0146535626400965","0.0320931126754568"
"Katie Collins",8,0.0499800925586477,"0.0368187259007959","0.101195537375494","0.133299129492126","0.17278156143169","0.163425041032046","0.0844689352380392","0.051594640147751","0.113732826551308","0.148000061581964","0.133691825882786","0.0775566282962214",""
"Caleb Bankston",9,0.0186464105359312,"0.0374190069243687","0.0598575136458151","0.0509233687233969","0.0635421381981682","0.0973284334632875","0.0961650182206402","0.120035529777651","0.0361814728701527","0.109546483974293","0.103961184796442","",""
"Vytas Baskauskas",10,0.0664270505976977,"0.0862335147769544","0.0437283624074178","0.0505986209933663","0.0707100755231987","0.0550866840919987","0.0836387916029348","0.088194598804142","0.0907923339255033","0.0501556540390424","","",""
"Aras Baskauskas",11,0.0635154779571416,"0.039896373858941","0.155929405230482","0.139600740712441","0.102284323305588","0.0644787966556542","0.0256133622276577","0.0215163513306945","0.0454353038171679","","","",""
"Laura Boneham",12,0.0655396406435323,"0.0788637145803419","0.0810572750106041","0.0807044044851059","0.0491402438559022","0.0833173407623095","0.084929561299596","","","","","",""
"John Cody",13,0.0573362816025591,"0.021069976901224","0.0310374061149938","0.0352825649388444","0.0700523385227416","0.0705892978877276","0.12562576442044","","","","","",""
"Kat Edorsson",14,0.0984029669320565,"0.0685759531011796","0.0604672392829509","0.0622520512905979","0.0449125337863395","0.0401297759012445","","","","","","",""
"Brad Culpepper",15,0.018136779600303,"0.0333460173920823","0.0261673785618165","0.043502978047124","0.043548160812451","","","","","","","",""
"Candice Woodcock",16,0.0321934835338415,"0.046836383208885","0.0401383997837311","0.0409600568006389","","","","","","","","",""
"Marissa Peterson",17,0.0298642090355532,"0.0478346543534124","0.0866318026812741","","","","","","","","","",""
"Rachel Foulger",18,0.0782842538371392,"0.099077789043267","","","","","","","","","","",""
"Colton Cumbie",19,0.0051938550529591,"0.0162484626833402","","","","","","","","","","",""
"Rupert Boneham",20,0.0250876962402148,"","","","","","","","","","","",""
