"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Brad Culpepper",2,"0.0300272781562963","0.0278101419005567","0.0736914627885189","0.117354423079867","0.166165873594796","0.130550648201394","0.134406132328714","0.330383591490273","0.195813100909846","0.199048529606183","0.260884445833008","0.292798422701131","0.255641079397334"
"Cirie Fields",6,"0.0950733771795528","0.0453419603554533","0.126386215538047","0.179341893268136","0.116542452150098","0.0930157288075569","0.134615508833017","0.0622009338453743","0.157183628400988","0.126919365404484","0.17550981937352","0.189595682459852","0.229563269757026"
"Sarah Lacina",1,"0.0302619435507016","0.0348603434605962","0.0288416483496396","0.0255067765882547","0.0263353305849967","0.0277565329122846","0.0403775425826064","0.038469419236902","0.116432040391205","0.16942941023765","0.222582404576328","0.162533812603269","0.281982542493252"
"Tai Trang",4,"0.0224203575954029","0.0188690134908229","0.0300842966819958","0.0578659581710735","0.0693141667507179","0.0520213666675066","0.0764930158135873","0.0437498122970155","0.0740437725237981","0.0276556588914244","0.0326079304025134","0.116321376410741","0.0949349959925217"
"Aubry Bracco",5,"0.0778137263749324","0.12957608094285","0.026086828674532","0.0397632006819337","0.0672005769672109","0.0758207051653554","0.050140264813362","0.0463054521735911","0.0557248983473934","0.0590371068385606","0.0672992488478466","0.00582499055822986","0.131583803405701"
"Troyzan Robertson",3,"0.0423727919941137","0.0597837905077844","0.0829858008642736","0.0469056276325357","0.0735157832703654","0.0864192402629215","0.0566665758698326","0.0587938071406052","0.019833476629743","0.00406214832219896","0.00188824164319971","0.00112339857685069","0.0062943089541644"
"Michaela Bradshaw",7,"0.0565125777191419","0.0339374779746968","0.0810919863060796","0.132429480895342","0.0307142140830863","0.0924103848706205","0.103828889763069","0.120096674227142","0.0828339666352609","0.033482421022421","0.0262959792770626","0.0921229070999694",""
"Andrea Boehlke",8,"0.0778137263749324","0.126789353546341","0.0312793691643861","0.016713541498734","0.0195514590523777","0.0257944814354133","0.04256465553972","0.0150496792396382","0.0454230674804194","0.0356691092539872","0.070138768503786","0.139679409589956",""
"Sierra Thomas",9,"0.0727439018795358","0.0555651797948924","0.0376248372463522","0.079681134240437","0.148702985095106","0.131606496284629","0.099503114519568","0.175885702043395","0.0881180575928568","0.104949524210551","0.142793161542735","",""
"Zeke Smith",10,"0.0300272781562963","0.0698680290771239","0.0803112780353603","0.0215482595354097","0.0486659418825898","0.0696823665728028","0.0549073727588125","0.0458716510914897","0.148980279176302","0.23974672621254","","",""
"Debbie Wanner",11,"0.0778137263749324","0.0366938926724693","0.0358528801360456","0.0203206393254044","0.0153469473737156","0.0136677269590034","0.0256414101755714","0.00673260222953861","0.0156137119121865","","","",""
"Ozzy Lusth",12,"0.0224203575954029","0.0487583530141426","0.0504064165413048","0.0633548887587579","0.113607668958914","0.106286381528429","0.0990955530012681","0.0564606749850354","","","","",""
"Hali Ford",13,"0.0778137263749324","0.0435602211389231","0.0387573389378733","0.0214918851777148","0.0477350218813359","0.0657852808739953","0.0817599640008719","","","","","",""
"Jeff Varner",14,"0.0224203575954029","0.0281516927959349","0.0262395471994325","0.0306875992768059","0.0279328703795276","0.0291826594580873","","","","","","",""
"Sandra Diaz-Twine",15,"0.0586680473153542","0.0518666072101583","0.0292017410277936","0.0238691430338089","0.0286687079751628","","","","","","","",""
"J.T. Thomas",16,"0.0423727919941137","0.0431120348061167","0.0846612118250133","0.123165548835786","","","","","","","","",""
"Malcolm Freberg",17,"0.120379278250499","0.122561806437154","0.136497140683352","","","","","","","","","",""
"Caleb Reynolds",18,"0.0224203575954029","0.0228940208739832","","","","","","","","","","",""
"Tony Vlachos",19,"0.0206243979230527","","","","","","","","","","","",""
"Ciera Eastin",20,"","","","","","","","","","","","",""
