"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Parvati Shallow",15,0.0549477483350012,0.0514189878745732,0.0363665277308419,0.0784592082045727,0.0974674032495799,0.0134861729263096,"0.0207042618287122","0.00324883677759108","0.0147485582983908","0.0243710501505692","0.0217838332627559","0.0219286194807615","0.0217629689871501"
"Rob 'Boston Rob' Mariano",16,0.0811124186277016,0.0792630609963957,0.122276802394349,0.156404561600922,0.0215702283615193,0.0167442303080588,"0.0333270775930384","0.00884450740934736","0.00817059347854041","0.0147739398763725","0.0182867293738017","0.0207013434275264","0.00603451043589135"
"Natalie Anderson",2,0.00366451860760374,0.00305873339892974,0.0129625742141271,0.0175211736753736,0.0207326792472624,0.0247627368943146,"0.0183434473542354","0.00828100978494242","0.00649438052738844","0.00767100356849712","0.00821015978163962","0.0184458092647971","0.0148939861342547"
"Sarah Lacina",4,0.0545604579721227,0.0947413598141511,0.0594965565363121,0.0432427536812676,0.0435224025177123,0.0867152625603843,"0.0768267021456401","0.0749235542549236","0.0562345817126091","0.159645855904676","0.202351113047717","0.214315506889017","0.343773890345866"
"Kim Spradlin-Wolfe",9,0.0571053235043266,0.0301877680953097,0.053165508070713,0.0690068809061686,0.114810870121577,0.1231214250556,"0.121385728121212","0.0801368613071781","0.055002816057122","0.0660408998307347","0.0718891130686723","0.0141827520951411","0.00453432059850042"
"Ethan Zohn",17,0.0994708332739465,0.0548093931215581,0.00704589337812072,0.0141988144623179,0.0240014963075037,0.0327023535989901,"0.0443340550327696","0.0103876033601035","0.00445948868071985","0.00411147439417223","0.00787996172148146","0.0129673441393566","0.00478561855313034"
"Sophie Clarke",10,0.0359038869154442,0.0618344425168934,0.0770307757744943,0.0742045605194502,0.0573496148583659,0.0793171170561044,"0.0891525315525417","0.142827080889827","0.100022021962692","0.101344627984082","0.00706853393093192","0.0120227706404007","0.00912027118376827"
"Jeremy Collins",8,0.0143098424960783,0.00233096010651027,0.0101067779925758,0.0218311216876273,0.0207281519641988,0.0346577862422334,"0.0622237400272506","0.0526822413847831","0.17227951803208","0.138880517018706","0.12691663999234","0.146995135014658","0.0124828820497502"
"Ben Driebergen",5,0.0216639918565698,0.0047106108593419,0.0033068100342233,0.0204059865855768,0.0438278779243379,0.075029391280553,"0.0880441210988255","0.0759388538656038","0.125432583646665","0.150535461465935","0.202294775548174","0.136561767542069","0.14402260254099"
"Tyson Apostol",11,0.0994708332739465,0.0751471201979672,0.186148651471153,0.0144743526946599,0.0168532782386674,0.032035239215109,"0.0219084931562459","0.177202706632554","0.10327906255359","0.0190783525636407","0.0200004278345894","0.00925188992351298","0.0168139662574015"
"Michele Fitzgerald",3,0.0545604579721227,0.0455161620355866,0.0794565791233273,0.0770402894821413,0.100874578606606,0.0856055939513749,"0.148451003271324","0.19071868218637","0.181670484079336","0.152481738691172","0.132936910904808","0.13106755298827","0.138564413834686"
"Denise Stapley",6,0.0571053235043266,0.0307401923606829,0.0424491826461739,0.0630051310398372,0.0928197149425366,0.0703693524769062,"0.0691195031889145","0.071955317560006","0.117525710767811","0.0947106244951467","0.0926723273295186","0.118212309586354","0.0327274176024033"
"Amber Mariano",19,0.00769503136875058,0.011527076217023,0.0169832315138972,0.0208813216495484,0.0227261994695604,0.0284774768215774,"0.0316989909722766","0.00584901314062173","0.00415925961206954","0.00708956705242031","0.0075820976244462","0.00775149716876392","0.0120934567936517"
"Danni Boatwright",18,0.0571053235043266,0.000540380654375898,0.00895358119938807,0.0120032281111917,0.0185190772299931,0.0241066198399355,"0.0154760003562683","0.00321133804927146","0.00198789922458637","0.000484443044878081","0.00238239124595424","0.00756830349493861","0.00295758716357768"
"Tony Vlachos",1,0.0858093852472262,0.0389231483795483,0.0436826234708965,0.0272102075878049,0.0186249046361651,0.013922107564636,"0.029313061085973","0.0163581587305769","0.0155531156940677","0.0372897646339733","0.0516954520966526","0.0947805962464056","0.225513577723937"
"Yul Kwon",14,0.0811124186277016,0.178043398866688,0.109437664526594,0.130574804354734,0.0590140757159248,0.149593386888218,"0.0203279703569291","0.0072378219268552","0.00500159340368138","0.00286851623461492","0.00503765494846185","0.004245102989248","0.00404538603656964"
"Adam Klein",12,0.0216590934523866,0.0167728663112786,0.0061862767855699,0.0191295887519054,0.0512239135578494,0.0403842661073337,"0.0398697708312002","0.053853614885241","0.00132736223317446","0.00327405378749937","0.00418591471847093","0.00323419027188971","0.00155346181635377"
"Nick Wilson",7,0.0308805405076737,0.0789179675176714,0.0278533158719682,0.0199894712249427,0.0379141258719175,0.0253542054899904,"0.039890865896235","0.0148943524747875","0.0240277294821198","0.0146179057875262","0.0165476957736983","0.0247803321973052","0.00389824955284354"
"Wendell Holland",13,0.0143098424960783,0.0560037704220248,0.0195984118831796,0.0303940721814216,0.0212204346294389,0.0204383720499423,"0.0296026761304079","0.00144844537941558","0.00262324055335566","0.000730203515383393","0.000278267795886449","0.000987176639584847","0.000421432389275526"
"Sandra Diaz-Twine",20,0.0675527284566658,0.0855126002534904,0.0774922553820957,0.0900224715985365,0.116198972549284,0.0231769036724286,"","","","","","",""
