"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Keith Nale",4,"0.0579089637428737","0.0816800398643165","0.0786874313400865","0.135284092553477","0.114354731138369","0.105150130500622","0.123735936498375","0.107617605459188","0.0716176176712518","0.0727562170354912","0.12047442491348","0.172581175788987","0.319737779861669"
"Missy Payne",3,"0.0269840054036053","0.0618792539518875","0.0616735443237229","0.0470179908291972","0.0425853418804655","0.0769037227589122","0.072813131302075","0.0766160159763406","0.0496674608190103","0.146557108456601","0.167317433927319","0.138187458536798","0.280619733239261"
"Baylor Wilson",5,"0.0269840054036053","0.0651142580970618","0.0370553565793735","0.0408853587538105","0.0242378122671733","0.031059715891333","0.029794363502996","0.0584662781347162","0.148552735724935","0.15658907378741","0.160177697387035","0.129701589638369","0.128811921220716"
"Jaclyn Schultz",2,"0.0792646138759652","0.0309723043286894","0.0273424782753705","0.0254327152340112","0.0453457687948809","0.0602340184065979","0.0453328494844174","0.0636952405743491","0.0643521249385426","0.132277877728676","0.098337972414405","0.121909934033961","0.0843852264274494"
"Natalie Anderson",1,"0.0792646138759652","0.0416151791171238","0.0403826194269513","0.0685979312466902","0.0615266388046492","0.0894681325460315","0.0713025078842703","0.0228790077012715","0.0628025510540795","0.0734556724501834","0.0892826997879311","0.102630490853928","0.186445339250905"
"Jon Misch",6,"0.0771887276154459","0.0938247765354307","0.0565603965049908","0.0584115758205497","0.0766103895645507","0.0670087288861973","0.113145568124212","0.188311568697482","0.427090358147796","0.34714744863532","0.362284074236802","0.334989351147957",""
"Alec Christy",7,"0.0407457507035054","0.0302260383699361","0.0276265600338087","0.0224482947889849","0.0248305291545755","0.0435012566072192","0.0292422897521595","0.0316207486380237","0.0277044970137424","0.00315562219458323","0.00212569733302802","",""
"Reed Kelly",8,"0.0407457507035054","0.0302260383699361","0.0278595202906681","0.0175664553362618","0.01857141285089","0.0226731728327125","0.0289327155833596","0.0246262074472047","0.0420248902141698","0.0680609797117345","","",""
"Wes Nale",9,"0.0233520077906726","0.0245599547533626","0.0371435196239076","0.0260015183233566","0.0525155903289687","0.0658228557070158","0.0977442685787055","0.0775028263268329","0.106187764416473","","","",""
"Jeremy Collins",10,"0.0866013523500373","0.144370277570067","0.174083893201518","0.161092763146579","0.167437891454669","0.169073796639752","0.201874413046104","0.348664501044591","","","","",""
"Josh Canfield",11,"0.118334089207706","0.170839809844008","0.190526161470425","0.223846522781053","0.187695813620764","0.204000803301754","0.186081956243325","","","","","",""
"Julie McGee",12,"0.064563991054367","0.0324494324470063","0.0722562669218351","0.0634510532848216","0.110723029718557","0.0651036659218522","","","","","","",""
"Dale Wentworth",13,"0.0579089637428737","0.0561040559162502","0.102307169974692","0.0905186207220815","0.0735650504214873","","","","","","","",""
"Kelley Wentworth",14,"0.0792646138759652","0.053741191362348","0.0261814906748471","0.0194451071791257","","","","","","","","",""
"Drew Christy",15,"0.0374685599113169","0.0569718313986245","0.0403135913578027","","","","","","","","","",""
"John Rocker",16,"0.0233520077906726","0.0254255580739521","","","","","","","","","","",""
"Val Collins",17,"0.0800679829519173","","","","","","","","","","","",""
"Nadiya Anderson",18,"","","","","","","","","","","","",""
