"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Nick Wilson",1,"0.0430775011991984","0.147397355400763","0.199122923470814","0.221657058677166","0.11768092091317","0.0842648754022349","0.124385881844946","0.215741541154747","0.161476947795113","0.337844972720346","0.308266167774877","0.315875284372376","0.294702564777586"
"Mike White",2,"0.0638045865395202","0.127026742950618","0.0691853974069255","0.0394257664889706","0.0489836198920541","0.0421911835638217","0.067390166839719","0.1074763159214","0.0898025914829592","0.0651754994796152","0.129744024798041","0.0999356877484544","0.408298593257753"
"Angelina Keeley",3,"0.0265496077335629","0.0448816446078576","0.0570573287509572","0.0397994087476678","0.0208422872111056","0.021599593592525","0.0276770676743817","0.0484103080577815","0.0452913560695076","0.0584065212223447","0.0519874847153091","0.0992630646216136","0.0820757511874567"
"Kara Kay",4,"0.0391272059018932","0.0607041213819229","0.0327722708304117","0.0276095443600215","0.0319636019920092","0.0278444664892784","0.0335475046446796","0.0267566107960587","0.0377451483900038","0.0295067342331413","0.0736666485276874","0.0761637663100492","0.0362001106048523"
"Alison Raybould",5,"0.0435234050818987","0.0242663496378657","0.0214877941245031","0.0214106150156798","0.0309838554565566","0.0344174790449177","0.0502468859245369","0.0113302723103105","0.036483247648086","0.0260016147156183","0.0140231396599904","0.0281262724078216","0.0681775678092957"
"Davie Rickenbacker",6,"0.0522711108279201","0.0261465934116885","0.0439313059223499","0.0413841615498873","0.0592331332927986","0.0732482103262881","0.0540732047726262","0.0205322731174828","0.0689338554661174","0.0263536438755131","0.00166844542388625","0.0280692373287361","0.110545412363056"
"Christian Hubicki",7,"0.0568040751854945","0.0504209649167291","0.0482224417069764","0.0660080102006271","0.0579467846513414","0.0850484295004592","0.108610588953763","0.0641765290570018","0.0999250113119995","0.222095606360089","0.223746274972747","0.352566687210949",""
"Gabby Pascuzzi",8,"0.0294379157263037","0.0480960604182085","0.0371500606408673","0.0274398724842731","0.0443748376189655","0.0683345412572644","0.084831100568889","0.184448160427699","0.113583173230787","0.234615407393333","0.196897814127462","",""
"Carl Boudreaux",9,"0.228612112580175","0.126875409018653","0.114688193859246","0.185222775949565","0.217285836236214","0.24861585160327","0.181619173991076","0.140996005295388","0.0962602586104912","","","",""
"Alec Merlino",10,"0.0246377819589093","0.0224585369340869","0.0252820259007697","0.0411594485583937","0.0439536104531698","0.0393142953416247","0.0874960720829826","0.160500544481812","0.250498409994935","","","",""
"Dan Rengering",11,"0.0549184770404488","0.0203894914709981","0.0265492355222954","0.0343930526308694","0.0420873496965372","0.0492003396283429","0.045499618195384","0.0196314393803183","","","","",""
"John 'Mayor of Slamtown' Hannigan",12,"0.121587740463018","0.102029442023481","0.083812131057294","0.14486655592322","0.196107381310966","0.196388971048379","0.134622734507016","","","","","",""
"Elizabeth Olson",13,"0.0265496077335629","0.026881174089236","0.0348618119768614","0.0484501935834972","0.0615505790471309","0.0295317632015936","","","","","","",""
"Lyrsa Torres",14,"0.0265496077335629","0.0182594670211334","0.0284525020376492","0.0420054634653581","0.027006202227981","","","","","","","",""
"Natalie Cole",15,"0.0344190841849116","0.0145007911653022","0.0185088303924272","0.0191680723648031","","","","","","","","",""
"Natalia Azoqa",16,"0.0435234050818987","0.0840625825938677","0.0910119317464823","","","","","","","","","",""
"Bi Nguyen",17,"0.0260619180589152","0.0317982110149378","0.0679038146531697","","","","","","","","","",""
"Jeremy Crawford",18,"0.0250746502387773","0.0238050619426515","","","","","","","","","","",""
"Jessica Peet",19,"0.0334702067300282","","","","","","","","","","","",""
"Pat Cusack",20,"","","","","","","","","","","","",""
