"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Mike Holloway",1,"0.108296389802574","0.0886746260734658","0.0988841000451306","0.162708659432746","0.121821273867348","0.0749953504223962","0.0983760748005869","0.210543527566868","0.364110895691796","0.381175736156733","0.485802059185023","0.520414068699823","0.369991517524131"
"Rodney Lavoie Jr.",4,"0.225626135114522","0.140833284434905","0.0523749133381116","0.0191938563220004","0.0212171458712442","0.0218137471949726","0.0399542318975329","0.0777791957239611","0.092708215024985","0.274761072761665","0.241826031332488","0.19880904228775","0.178716444255511"
"Will Sims II",2,"0.027710637885225","0.0393461619126573","0.0522359178032281","0.100034282106201","0.10649805521576","0.179605715724321","0.168834931011452","0.086115987251341","0.112745216480998","0.0349349426536925","0.0288776625405823","0.0794406752608329","0.0343028608587941"
"Carolyn Rivera",2,"0.0776752304749763","0.0667361069060594","0.0574638527738636","0.0752065433520895","0.052274995280039","0.0675788500492238","0.137166545704128","0.093738754184253","0.0472836837775917","0.0566007441041365","0.0855543126397881","0.0705699758531261","0.370464004596206"
"Sierra Thomas",5,"0.0498533055854292","0.0230505482543972","0.0257973097498764","0.0190306531961808","0.0313031073022891","0.025654820515261","0.0354051941719564","0.0431134414380209","0.0183934061752923","0.0122314623160202","0.0132433880402089","0.0625531090504175","0.0465251727653577"
"Dan Foley",6,"0.0187184802806955","0.0239333904423274","0.0557278890966326","0.0551383755597382","0.0266750624966036","0.0241390617225208","0.0335919066393355","0.00771457454763146","0.00200597444960415","0.0375276098991448","0.0873847135500468","0.0682131288480508",""
"Tyler Fredrickson",7,"0.0267967077042167","0.0300466963101479","0.160955253326683","0.0721586824082273","0.167094737802665","0.166713676037036","0.148444910079548","0.269456052214593","0.147400459139405","0.137711363275239","0.0573118327118636","",""
"Shirin Oskooi",8,"0.0505972169615285","0.107570940296723","0.10608120500379","0.0732711734555591","0.0321211502633468","0.0274671828686575","0.0382088421551629","0.0250052218781282","0.0373457965082094","0.0650570688333688","","",""
"Jenn Brown",9,"0.0326463321393413","0.0510872792709788","0.0436840089561158","0.0527012772041682","0.0552514747037192","0.0675889364155096","0.118709831468657","0.138867410565838","0.178006352752119","","","",""
"Joe Anglim",10,"0.108296389802574","0.0874246129883639","0.0585980608756364","0.0327877912148564","0.0396055141806562","0.0468834411858387","0.0468132593158331","0.0476658346293654","","","","",""
"Hali Ford",11,"0.0498533055854292","0.0643761871207054","0.0656088820714731","0.120561228108379","0.139629918527185","0.183214377225513","0.134494272755808","","","","","",""
"Kelly Remington",12,"0.0550813212997702","0.0744914427254626","0.0257702809688393","0.101025013213967","0.114558833514918","0.114344840638749","","","","","","",""
"Joaquin Souberbielle",13,"0.0161263817332044","0.0528259781217482","0.0938124277424189","0.0897050195120322","0.0919487309742266","","","","","","","",""
"Max Dawson",14,"0.0267967077042167","0.0243965836273906","0.0274751535604551","0.0264774449138557","","","","","","","","",""
"Lindsey Cascaddan",15,"0.0505972169615285","0.107570940296723","0.0755307446877455","","","","","","","","","",""
"Nina Poersch",16,"0.0550813212997702","0.017635221217944","","","","","","","","","","",""
"Vince Sly",17,"0.0202469196649978","","","","","","","","","","","",""
"So Kim",18,"","","","","","","","","","","","",""
