"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14"
"Aubry Bracco",2,"0.0161621534775551","0.0367291712746781","0.0448474512090338","0.0408196496113175","0.0385741373928472","0.0522265113527477","0.0776271753024751","0.0950573953165793","0.213582579237211","0.169711947980801","0.178723248478058","0.281760922238705","0.282834779299732"
"Cydney Gillon",4,"0.0395151636856285","0.156691872582093","0.170911635763898","0.263495103445931","0.257502824517097","0.295643071370969","0.282948674176588","0.261853239577075","0.271481199073862","0.290035079335909","0.358177093665005","0.27996750412436","0.252306705304619"
"Tai Trang",3,"0.0162840241836301","0.0295953152635519","0.0744337763573812","0.15220002392556","0.158742026330741","0.136886142620219","0.16830514925291","0.0979883706253566","0.0818720641144605","0.172796461769783","0.259407977377389","0.22083459560668","0.107444627693333"
"Michele Fitzgerald",1,"0.0983164917992874","0.0795042410702671","0.0305072086457809","0.0394059328046491","0.0397364609743989","0.0497285806552875","0.102440409527806","0.221183812392951","0.170963121879414","0.173406584752015","0.0960619241987484","0.181492158138131","0.357413887702316"
"Joe del Campo",5,"0.0275012686097885","0.0776361825537088","0.0641940690994692","0.0991645159147029","0.0951116151343765","0.121614467467743","0.111316681056795","0.159982855425589","0.115098417206629","0.0161758811045715","0.0203176142617567","0.0359448198921245",""
"Kyle Jason",6,"0.129961222138238","0.0170276692889551","0.0290637789654151","0.0237350322703113","0.0306478462725993","0.0361265739031768","0.0495053384290883","0.0272687195434907","0.0350143862635207","0.0782110514908034","0.0873121420190433","",""
"Julia Sokolowski",7,"0.0417401465346009","0.0327172340862123","0.0283273926084477","0.0388551792810955","0.0559580306849965","0.0462973267437046","0.0538094475991014","0.0816763237673568","0.0891147836150298","0.0996629935661173","","",""
"Scot Pollard",8,"0.0602979547039339","0.0812982498970588","0.0367636755750453","0.0260832490224008","0.0339074345889311","0.0410169757583246","0.0321089139131344","0.0399993906247125","0.0228734486098719","","","",""
"Debbie Wanner",9,"0.0184848267291611","0.0219461761341273","0.0271003729540015","0.038333829766533","0.0465155317012924","0.0476956951003657","0.0409102617645505","0.0149898927268884","","","","",""
"Nick Maiorano",10,"0.0275012686097885","0.0283032574068246","0.0265538515040762","0.0208743556204603","0.0429848563437512","0.0382928999389294","0.0810279489775524","","","","","",""
"Neal Gottlieb",11,"0.176967254851444","0.189717989794845","0.267617970673503","0.148020227564489","0.147269861051658","0.134471755088533","","","","","","",""
"Peter Baggenstos",12,"0.109475114245862","0.0714314352914132","0.0747365412218337","0.0667525873363979","0.0530493750073105","","","","","","","",""
"Anna Khait",13,"0.0758512618268713","0.0389120539024942","0.0450368718246967","0.0422603134361512","","","","","","","","",""
"Alecia Holden",14,"0.0184848267291611","0.0220265273098149","0.0245071223331927","","","","","","","","","",""
"Caleb Reynolds",15,"0.0913344457444891","0.0306697835609263","0.0553982812642251","","","","","","","","","",""
"Liz Markham",16,"0.0244687978462585","0.0857928405830296","","","","","","","","","","",""
"Jennifer Lanzetti",17,"0.0276537782843018","","","","","","","","","","","",""
"Darnell Hamilton",18,"","","","","","","","","","","","",""
